R00-0004|CITYLIFE ASSOCIATES SDN BHD||NO.11-1, OVAL TOWER @ DAMANSARA,|AED_YYC_8
R00-0001|FERRUCCI SDN BHD||UNIT 15-1, OVAL TOWER @ |AED_YYC_8
R00-0003|PELANGI LEHANG SDN BHD||UNIT 15-5, OVAL TOWER @ DAMANSARA,|AED_YYC_8
R00-0002|STREAM ENTERPRISE (M) SDN BHD||15-3 & 15-3A, MENARA PERMATA DAMANSARA|AED_YYC_8
R00-0004|CITYLIFE ASSOCIATES SDN BHD||NO.11-1, OVAL TOWER @ DAMANSARA,|AED_YYC_8
R00-0001|FERRUCCI SDN BHD||UNIT 15-1, OVAL TOWER @ |AED_YYC_8
R00-0003|PELANGI LEHANG SDN BHD||UNIT 15-5, OVAL TOWER @ DAMANSARA,|AED_YYC_8
R00-0002|STREAM ENTERPRISE (M) SDN BHD||15-3 & 15-3A, MENARA PERMATA DAMANSARA|AED_YYC_8
R00-0004|CITYLIFE ASSOCIATES SDN BHD||NO.11-1, OVAL TOWER @ DAMANSARA,|AED_YYC_8
R00-0001|FERRUCCI SDN BHD||UNIT 15-1, OVAL TOWER @ |AED_YYC_8
R00-0003|PELANGI LEHANG SDN BHD||UNIT 15-5, OVAL TOWER @ DAMANSARA,|AED_YYC_8
R00-0002|STREAM ENTERPRISE (M) SDN BHD||15-3 & 15-3A, MENARA PERMATA DAMANSARA|AED_YYC_8
R00-0004|CITYLIFE ASSOCIATES SDN BHD||NO.11-1, OVAL TOWER @ DAMANSARA,|AED_YYC_8
R00-0001|FERRUCCI SDN BHD||UNIT 15-1, OVAL TOWER @ |AED_YYC_8
R00-0003|PELANGI LEHANG SDN BHD||UNIT 15-5, OVAL TOWER @ DAMANSARA,|AED_YYC_8
R00-0002|STREAM ENTERPRISE (M) SDN BHD||15-3 & 15-3A, MENARA PERMATA DAMANSARA|AED_YYC_8
R00-0004|CITYLIFE ASSOCIATES SDN BHD||NO.11-1, OVAL TOWER @ DAMANSARA,|AED_YYC_8
R00-0001|FERRUCCI SDN BHD||UNIT 15-1, OVAL TOWER @ |AED_YYC_8
R00-0003|PELANGI LEHANG SDN BHD||UNIT 15-5, OVAL TOWER @ DAMANSARA,|AED_YYC_8
R00-0002|STREAM ENTERPRISE (M) SDN BHD||15-3 & 15-3A, MENARA PERMATA DAMANSARA|AED_YYC_8
R00-0004|CITYLIFE ASSOCIATES SDN BHD||NO.11-1, OVAL TOWER @ DAMANSARA,|AED_YYC_8
R00-0001|FERRUCCI SDN BHD||UNIT 15-1, OVAL TOWER @ |AED_YYC_8
