ACCOUNTNO|COMPANYCODE|CONTRACTYPE|CONTRACTNO|CONTRACTNAME|BUSINESSAREA|RETOBJID|LOCATION|LOCATIONDESC|VALIDFROM|VALIDTO|CONTRSTARTDATE|FIRSTCONTREND|CONTRENDDATE|TERMINMONTHS|SECURITYDEPOSIT|UTILITYDEPOSIT|OPERATIONDEPOSIT
300001598|2000|T03|3300000000009|KUALA LUMPUR AVIATION FEULLING SYSTEM (CO.CODE:0031)|00002040|00008519|00130001|Aircraft Fuelling System|00000000|0|20080901|20480430|20480430|75|00|00|00
300001870|1000|M05|2500000000035|The Flying Emporium|00001000|00010728|00130003|CPD NA 5|00000000|0|20050601|20171231|20171231|50|03|01|01
300001294|1000|O01|5100000000013|Gold City Counter|00001000|00010857|00130449|In front of Gold City outlet|00000000|0|20110101|20130214|20171231|83|00|00|00
300001919|1000|O01|5100000000007|Hot & Roll, CP|00001000|00011018|00130028|Lot no 9|00000000|0|20120301|20130228|20171231|69|00|00|00
MAN|1000|O01|5100000000006|MAN Hersheys|00001000|00011017|00130027|Lot no 1|00000000|0|20110101|20130430|20171231|83|00|00|00
300000455|1000|M03|2300000000071|BANK ISLAM MALAYSIA|00001000|00011030|00130023|LOT CPI NA2, PASSANGER LVL|00000000|0|20150701|20180630|20180630|35|03|01|01
300002797|1000|M02|2200000000111|DOME CAFÉ|00001000|00010875|00130412|Lot SATP NA1 (C), Passanger Level Satellite.|00000000|0|20150701|20180630|20180630|35|03|01|01
300002554|1000|M02|2200000000134|FUKUYA KLIA.|00001000|00010694|00130453|SATMZ 24 AND SATMZ 2|00000000|0|20150701|20180630|20180630|35|03|01|01
300001715|1000|M02|2200000000114|STAFF CAFETERIA (RIMBA)|00001000|00010693|00130452|SATMZ 1|00000000|0|20150701|20180630|20180630|35|03|01|01
300002794|1000|M03|2300000000070|CIMB ISLAMIC BANK|00001000|00010788|00130382|Lot SATP G04, Passanger Level|00000000|0|20150701|20180630|20180630|35|03|01|01
300002814|1000|M01|2100000000085|Versace|00001000|00010710|00130469|SATP H08|00000000|0|20150701|20180630|20180630|35|03|01|01
300002446|1000|M01|2100000000086|MCM|00001000|00010709|00130468|SATP A03|00000000|20180630|20150701|20180630|20180630|35|03|01|01
300002584|1000|M05|2500000000148|Convenience Store (Al Jasmine)|00001000|00010771|00130527|LOT 4, GROUND FLOOR, BLOCK C S.T CAR PARK|00000000|0|20150701|20180630|20180630|35|03|01|01
300002408|1000|M03|2300000000058|Wellness Spa & Salon / Plaza Premium Lounge|00001400|00015384|00130070|LOT NO. S3-2-A07|00000000|0|20140501|20170430|20190430|59|00|00|00
300001520|1000|M02|2200000000115|BURGER KING (SAT)|00001000|00010755|00130512|F&B S04 - H SBML|00000000|0|20150701|20180630|20180630|35|03|01|01
300001919|1000|M02|2200000000131|O'BRIENS|00001000|00010756|00130513|Lot SATMZ 3 (a) - (b), Mezzanine Level Satellite|00000000|0|20150701|20180630|20180630|35|03|01|01
300002820|1000|M02|2200000000141|THE OLIVE TREE|00001000|00010753|00130510|Lot SATMZ 4, Satellite|00000000|0|20150701|20180630|20180630|35|03|01|01
300002816|1000|O01|5100000000003|Chocolate Level 3 - Multi Trading|00001000|00010356|00130144|Lot no 7|00000000|0|20121201|20130228|20171031|58|00|00|00
300001919|1000|O01|5100000000000|Hot & Roll - Arrival Hall|00001000|00010254|00130172|Lot no 3|00000000|0|20120301|20130228|20171231|69|00|00|00
300002158|1000|M02|2200000000118|NELSON'S KIOSK.|00001000|00010416|00130148|MTBAP NA2|00000000|0|20150701|20180630|20180630|35|03|01|01
MAN|1000|M05|2500000000133|Convenience Store (Airport Shoppe)|00001000|00010419|00130151|MTBAP 7a&b|00000000|0|20150701|20180630|20180630|35|00|00|00
MAN|1000|M05|2500000000144|Chocolate & Confectionery (MA(N) - Arrival)|00001000|00010418|00130150|MTBAP 06a|00000000|0|20150701|20180630|20180630|35|00|00|00
300002754|3000|C01|4100000000003|Ipoh Airport - Self Managed Car Park|00003012|00008950|00130002|Car Park|00000000|0|20130301|00021130|0|41|00|00|00
300001493|1000|O01|5100000000049|Chocolate Level 5 - Multi Trading|00001000|00010450|00130311|Lot no 3|00000000|0|20130301|20130331|20171231|57|00|00|00
300003007|1000|O01|5100000000134|Swatch Promotion @ KLIA|00001000|00010447|00130308|Lot no 9 & 10|20150201|20150831|20140801|20140831|20171231|40|00|00|00
300003007|1000|O01|5100000000134|Swatch Promotion @ KLIA|00001000|00010447|00130308|Lot no 9 & 10|20151113|0|20140801|20140831|20171231|40|00|00|00
MAN|1000|O01|5100000000084|MAN Lindt|00001000|00014310|00130685|Lot no 1, Contact Pier Building, KL International Airport|00000000|0|20130501|20130731|20171231|55|00|00|00
300002540|1000|M02|2200000000132|Boost Juice Bars|00001000|00015346|00130700|LOT SATMZ 9|00000000|0|20150701|20180630|20180630|35|03|01|01
300004158|1000|M05|2500000000117|The Flying Emporium|00001400|00016497|00130041|LOT NO. S2-2-A29|00000000|0|20140501|20170430|20190430|59|00|00|00
300004158|1000|M05|2500000000117|The Flying Emporium|00001400|00016498|00130042|LOT NO. S2-2-A30|00000000|0|20140501|20170430|20190430|59|00|00|00
300002343|3000|M02|2200000000143|OTK (GENTING)|00003051|00010094|00130051|LOT L1L05, T1|00000000|0|20150501|20180430|20180430|35|05|00|00
300000026|3000|M03|2300000000092|CIMB BANK|00003051|00010091|00130054|LOT L1L01 (C6), LEVEL 1 (LANDSIDE)|00000000|20170331|20150801|20180731|20180731|35|03|00|00
300001605|1000|M02|2200000000107|Uncle D's Cafeteria|00001400|00017842|00130311|Lot No. LS2-1-45|00000000|0|20140901|20170831|20190831|59|00|00|00
300001605|1000|M02|2200000000107|Uncle D's Cafeteria|00001400|00017841|00130312|Lot No. AS5-1-62a|00000000|0|20140901|20170831|20190831|59|00|00|00
300004907|1000|M05|2500000000127|Rasa Tidbits|00001400|00018882|00130323|Lot No. S5-1a-A06|00000000|0|20141001|20170930|20190930|59|00|00|00
300002371|1000|M03|2300000000067|Excel Wrap & Go|00001400|00016515|00130049|LOT NO. S2-3-L02b|00000000|0|20150401|20180331|20180331|35|00|00|00
300002371|1000|M03|2300000000067|Excel Wrap & Go|00001400|00016557|00130098|LOT NO. S2-3-L37d|00000000|0|20150401|20180331|20180331|35|00|00|00
300002514|1000|M01|2100000000071|Khazanah Home Decor & Gifts|00001400|00015397|00130133|LOT NO. S6-2-A19|00000000|0|20140501|20170430|20190430|59|00|00|00
MAN|1000|M05|2500000000100|Sunglasses|00001400|00016556|00130109|LOT NO. S2-3-A47|00000000|0|20140501|20170430|20190430|59|00|00|00
300003448|1000|M05|2500000000079|be™|00001400|00016476|00130112|LOT NO. S4-3-A01|00000000|0|20140501|20170430|20190430|59|00|00|00
300003448|1000|M05|2500000000079|be™|00001400|00016477|00130113|LOT NO. S4-3-A02|00000000|0|20140501|20170430|20190430|59|00|00|00
300003448|1000|M05|2500000000079|be™|00001400|00016478|00130114|LOT NO. S4-3-A03|00000000|0|20140501|20170430|20190430|59|00|00|00
300003448|1000|M05|2500000000079|be™|00001400|00016479|00130115|LOT NO. S4-3-A04|00000000|0|20140501|20170430|20190430|59|00|00|00
300001975|1000|M06|2600000000004|Starbucks Coffee|00001000|00019706|00130754|Lot CP 20|00000000|20180331|20150401|20180331|20180331|35|03|01|01
300002808|1000|M02|2200000000125|KENTUCKY FRIED CHICKEN|00001000|00019735|00130769|MTBDL 15k, 16 & 16a|00000000|0|20150701|20180630|20180630|35|03|01|01
300001520|1000|M02|2200000000121|BURGER KING (MTB)|00001000|00019731|00130765|MTBAL 4b|00000000|0|20150701|20180630|20180630|35|03|01|01
300001520|1000|M02|2200000000122|CAFÉ BARBERA|00001000|00019728|00130762|MTBDL 13e|00000000|0|20150701|20180630|20180630|35|03|01|01
