CUSTOMER_ID|CUSTOMER_NAME|PIC_NAME|ADDRESS_1|ADDRESS_2|CITY|STATE|ZIPCODE|PHONE_VALUE|PHONE_TYPE
10000179|HANDAL OFFSHORE SERVICES SDN BHD|HANDAL OFFSHORE SERVICES SDN BHD|LOT 4, OPEN SPACE (PHASE 2),|KSB|KEMAMAN|TERENGGANU DARUL IMAN|24007|03-7766394|Fax
10000180|HARTRODT AIR SERVICES (M) SDN BHD|HARTRODT AIR SERVICES (M) SDN BHD|2,JLN SETIA PRIMA S U13/S WISMA A,|HARTRODT,10-2,SETIA ALAM,SEC.U13|SHAH ALAM|SELANGOR DARUL EHSAN|40170|03-3343 9033|Phone
10000180|HARTRODT AIR SERVICES (M) SDN BHD|HARTRODT AIR SERVICES (M) SDN BHD|2,JLN SETIA PRIMA S U13/S WISMA A,|HARTRODT,10-2,SETIA ALAM,SEC.U13|SHAH ALAM|SELANGOR DARUL EHSAN|40170|03-3343 7033|Fax
10000183|HATI EMAS GELIGA ENTERPRISE|HATI EMAS GELIGA ENTERPRISE|K 9666 TINGKAT 1|TMN CHUKAI UTAMA|KEMAMAN|TERENGGANU DARUL IMAN|24000|09-8584153|Phone
10000183|HATI EMAS GELIGA ENTERPRISE|HATI EMAS GELIGA ENTERPRISE|K 9666 TINGKAT 1|TMN CHUKAI UTAMA|KEMAMAN|TERENGGANU DARUL IMAN|24000|019-9955560|Fax
10000184|HAVEN ENGINEERING INDUSTRIES SDN BHD|HAVEN ENGINEERING INDUSTRIES SDN BH|189, JLN TUN RAZAK,|A-9-1,BLOCK A,MEGAN AVENUE 1,|KUALA LUMPUR|WILAYAH PERSEKUTUAN|50400|03-21610020|Phone
10000184|HAVEN ENGINEERING INDUSTRIES SDN BHD|HAVEN ENGINEERING INDUSTRIES SDN BH|189, JLN TUN RAZAK,|A-9-1,BLOCK A,MEGAN AVENUE 1,|KUALA LUMPUR|WILAYAH PERSEKUTUAN|50400|09-8631733/03-21711632|Fax
10000185|HESS EXPLORATION AND PRODUCTION MALAYSIA B.V.|HESS EXPLORATION AND PRODUCTION|LEVEL 14 MENARA 3 PETRONAS|KUALA LUMPUR CITY CENTRE|KUALA LUMPUR|WILAYAH PERSEKUTUAN|50088|03-2788 7200|Phone
10000185|HESS EXPLORATION AND PRODUCTION MALAYSIA B.V.|HESS EXPLORATION AND PRODUCTION|LEVEL 14 MENARA 3 PETRONAS|KUALA LUMPUR CITY CENTRE|KUALA LUMPUR|WILAYAH PERSEKUTUAN|50088|03-27887210|Fax
10000187|HHA ASSOCIATES SDN BHD|HHA ASSOCIATES SDN BHD|LOT 60248|KAWASAN PERINDUSTRIAN TELUK KALONG|KEMAMAN|TERENGGANU DARUL IMAN|24007|09-8623150 / 51|Phone
